"","season","scenario","model","value.past","value.present","value.future","change"
"1","other","rcp26","bcc-csm1-1",1.40947494553377,3.17036222222222,3.23109259259259,1.82161764705882
"4","spring","rcp26","bcc-csm1-1",8.10896078431372,9.36959333333333,9.4804375,1.37147671568628
"7","other","rcp45","bcc-csm1-1",1.40947494553377,3.08783111111111,4.26888425925926,2.85940931372549
"10","spring","rcp45","bcc-csm1-1",8.10896078431372,9.07232,10.0082986111111,1.89933782679739
"13","other","rcp60","bcc-csm1-1",1.40947494553377,2.87958,4.68912037037037,3.2796454248366
"16","spring","rcp60","bcc-csm1-1",8.10896078431372,8.89442666666667,10.7682013888889,2.65924060457516
"19","other","rcp85","bcc-csm1-1",1.40947494553377,3.29532222222222,6.17584259259259,4.76636764705882
"22","spring","rcp85","bcc-csm1-1",8.10896078431372,9.82962,12.079625,3.97066421568628
"25","other","rcp26","ccsm4",1.43289498910675,3.137216,3.13677268518519,1.70387769607843
"28","spring","rcp26","ccsm4",8.09683267973856,9.84157066666667,9.91513333333333,1.81830065359477
"31","other","rcp45","ccsm4",1.43289498910675,3.13784977777778,4.33577962962963,2.90288464052288
"34","spring","rcp45","ccsm4",8.09683267973856,10.080928,11.401175,3.30434232026144
"37","other","rcp60","ccsm4",1.43289498910675,2.97676488888889,4.63116805555556,3.1982730664488
"40","spring","rcp60","ccsm4",8.09683267973856,9.89105866666667,11.3927902777778,3.29595759803922
"43","other","rcp85","ccsm4",1.43289498910675,3.39030933333333,6.2921662037037,4.85927121459695
"46","spring","rcp85","ccsm4",8.09683267973856,10.2932253333333,13.1766722222222,5.07983954248366
"49","other","rcp26","cesm1-cam5",1.43484676833696,2.96583481481481,3.6827137345679,2.24786696623094
"52","spring","rcp26","cesm1-cam5",8.10554248366013,9.79691111111111,10.193599537037,2.08805705337691
"55","other","rcp45","cesm1-cam5",1.43484676833696,3.19586740740741,4.92471450617284,3.48986773783588
"58","spring","rcp45","cesm1-cam5",8.10554248366013,9.90603111111111,11.633625,3.52808251633987
"61","other","rcp60","cesm1-cam5",1.42911002178649,2.91424,5.03258796296296,3.60347794117647
"64","spring","rcp60","cesm1-cam5",8.11068300653595,9.57091666666667,11.5382083333333,3.42752532679738
"67","other","rcp85","cesm1-cam5",1.43484676833696,3.26157777777778,6.21821219135802,4.78336542302106
"70","spring","rcp85","cesm1-cam5",8.10554248366013,9.88560222222222,12.4818564814815,4.37631399782135
"73","other","rcp26","csiro-mk3-6-0",1.41589891067538,2.84525622222222,3.59207083333333,2.17617192265795
"76","spring","rcp26","csiro-mk3-6-0",8.08645947712418,9.531814,10.120475,2.03401552287582
"79","other","rcp45","csiro-mk3-6-0",1.41589891067538,2.84457733333333,4.60203634259259,3.18613743191721
"82","spring","rcp45","csiro-mk3-6-0",8.08645947712418,9.53341066666667,11.1289145833333,3.04245510620915
